,year,rank,song,artist
3465,1994,67,Everybody Hurts,R.E.M.
3466,1994,68,The Sign,Ace Of Base
3467,1994,69,Cannonball,The Breeders
3468,1994,70,Fast As You,Dwight Yoakam
3469,1994,71,Into Your Arms,The Lemonheads
3470,1994,72,Let Me Ride,Dr. Dre
3471,1994,73,Will You Be There (In The Morning),Heart
3472,1994,74,Sentimental,Kenny G
3473,1994,75,Looking For Mr. Do Right,Jade
3474,1994,76,As Long As I Can Dream,Expose
3475,1994,77,Give It Up,The Goodmen
3476,1994,78,Method Man,Wu-Tang Clan
3477,1994,79,Mary Jane's Last Dance,Tom Petty And The Heartbreakers
3478,1994,80,Really Doe,Ice Cube
3479,1994,81,I'm In The Mood,CeCe Peniston
3480,1994,82,The Song Remembers When,Trisha Yearwood
3481,1994,83,John Deere Green,Joe Diffie
3482,1994,84,Addams Family (Whoomp!),Tag Team
3483,1994,85,93 'til Infinity,Souls Of Mischief
3484,1994,86,"Indo Smoke (From ""Poetic Justice"")",Mista Grimm
3485,1994,87,I Never Knew Love,Doug Stone
3486,1994,88,Send Me A Lover,Taylor Dayne
3487,1994,89,"I Love Music (From ""Carlito's Way"")",Rozalla
3488,1994,90,Better Than You,Lisa Keith
3489,1994,91,Having A Party,Rod Stewart
3490,1994,92,What's It To You,Clay Walker
3491,1994,93,I'm Looking For The One (To Be With Me),Jazzy Jeff & The Fresh Prince
3492,1994,94,Betcha'll Never Find,Chantay Savage
3493,1994,95,You Don't Have To Worry,Mary J. Blige
3494,1994,96,Push The Feeling On,Nightcrawlers
3495,1994,97,Funk Dat/Why Is It?,Sagat
3496,1994,98,Here Come The Lords,Lords Of The Underground
3497,1994,99,Rubberband Girl,Kate Bush
3498,1994,100,Yolanda,Reality
3499,1995,1,On Bended Knee,Boyz II Men
3500,1995,2,Creep,TLC
3501,1995,3,"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze
3502,1995,4,Another Night,Real McCoy
3503,1995,5,Always,Bon Jovi
3504,1995,6,I Wanna Be Down,Brandy
3505,1995,7,Before I Let You Go,BLACKstreet
3506,1995,8,Tootsee Roll,69 Boyz
3507,1995,9,I'll Make Love To You,Boyz II Men
3508,1995,10,You Want This/70's Love Groove,Janet Jackson
3509,1995,11,I'm The Only One,Melissa Etheridge
3510,1995,12,Take A Bow,Madonna
3511,1995,13,Sukiyaki,4PM
3512,1995,14,Short Dick Man,20 Fingers Featuring Gillette
3513,1995,15,Secret,Madonna
3514,1995,16,You Gotta Be,Des'ree
