,Unnamed: 0,date,rank,song,artist,gender,genre,genres
510,510,2021,11,Levitating,Dua Lipa,,,"['dance pop', 'pop', 'uk pop']"
511,511,2021,12,Save Your Tears,The Weeknd & Ariana Grande,,,"['canadian contemporary r&b', 'canadian pop', 'pop']"
512,512,2021,13,Girls Want Girls,Drake Featuring Lil Baby,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
513,513,2021,14,Essence,Wizkid Featuring Justin Bieber & Tems,,,"['afro dancehall', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']"
514,514,2021,15,Fair Trade,Drake Featuring Travis Scott,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
515,515,2021,16,Heat Waves,Glass Animals,,,"['gauze pop', 'indietronica', 'shiver pop']"
516,516,2021,17,Shivers,Ed Sheeran,,,"['pop', 'uk pop']"
517,517,2021,18,Need To Know,Doja Cat,,,"['dance pop', 'pop']"
518,518,2021,19,You Right,Doja Cat & The Weeknd,,,"['dance pop', 'pop']"
519,519,2021,20,Beggin',Maneskin,,,"['indie rock italiano', 'italian pop']"
520,520,2021,21,Take My Breath,The Weeknd,,,"['canadian contemporary r&b', 'canadian pop', 'pop']"
521,521,2021,22,If I Didn't Love You,Jason Aldean & Carrie Underwood,,,"['contemporary country', 'country', 'country road']"
522,522,2021,23,Deja Vu,Olivia Rodrigo,,,['pop']
523,523,2021,24,Butter,BTS,,,"['k-pop', 'k-pop boy group']"
524,524,2021,25,Traitor,Olivia Rodrigo,,,['pop']
525,525,2021,26,Leave Before You Love Me,Marshmello X Jonas Brothers,,,"['brostep', 'edm', 'pop', 'pop dance', 'progressive electro house']"
526,526,2021,27,Pepas,Farruko,,,"['latin', 'reggaeton', 'trap latino']"
527,527,2021,28,Happier Than Ever,Billie Eilish,,,"['art pop', 'electropop', 'pop']"
528,528,2021,29,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,,,"['contemporary country', 'country', 'country pop']"
529,529,2021,30,Champagne Poetry,Drake,,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
530,530,2021,31,Hurricane,Kanye West,,,"['chicago rap', 'rap']"
531,531,2021,32,Chasing After You,Ryan Hurd With Maren Morris,,,"['contemporary country', 'country pop']"
532,532,2021,33,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),,,"['dance pop', 'pop']"
