,Unnamed: 0,year,rank,song,artist,gender,nltk_positive,nltk_negative,nltk_score,nltk_top_emotion,genres
0,0,1960,1,El Paso,Marty Robbins,,0.157,0.153,0.3568,joy,"['cowboy western', 'nashville sound']"
1,1,1960,2,Why,Frankie Avalon,,0.12,0.133,-0.9944,anger,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
2,2,1960,3,The Big Hurt,Miss Toni Fisher,,0.022,0.106,-0.875,anticipation,"['hard bop', 'jazz', 'jazz fusion', 'jazz guitar']"
3,3,1960,4,Running Bear,Johnny Preston,,0.365,0.025,0.999,joy,['nashville sound']
4,4,1960,5,Way Down Yonder In New Orleans,Freddie Cannon,,0.21,0.045,0.9822,joy,"['brill building pop', 'bubblegum pop', 'doo-wop', 'merseybeat', 'rhythm and blues', 'rock-and-roll', 'rockabilly']"
5,5,1960,6,Heartaches By The Number,Guy Mitchell,,0.27,0.126,0.9907,joy,"['adult standards', 'brill building pop', 'deep adult standards', 'rock-and-roll']"
6,6,1960,7,It's Time To Cry,Paul Anka,,0.03,0.226,-0.9698,sadness,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']"
7,7,1960,8,Among My Souvenirs,Connie Francis,,0.071,0.069,0.0516,sadness,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'vocal jazz']"
8,8,1960,9,Pretty Blue Eyes,Steve Lawrence,,,,,,"['adult standards', 'brill building pop', 'deep adult standards', 'easy listening', 'lounge']"
9,9,1960,10,"Go, Jimmy, Go",Jimmy Clanton,,0.095,0.008,0.9499,anticipation,"['adult standards', 'brill building pop', 'deep adult standards', 'doo-wop', 'rhythm and blues', 'rock-and-roll', 'swamp pop']"
10,10,1960,11,We Got Love,Bobby Rydell,,0.387,0.021,0.9998,joy,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']"
11,11,1960,12,Mack The Knife,Bobby Darin,,0.045,0.054,0.2359,anticipation,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rock-and-roll', 'rockabilly', 'soul', 'swing', 'vocal jazz']"
12,12,1960,13,The Village Of St. Bernadette,Andy Williams,,,,,,"['adult standards', 'brill building pop', 'easy listening']"
13,13,1960,14,Uh! Oh! Part 2,The Nutty Squirrels,,0.273,0.102,0.9835,anger,['partyschlager']
14,14,1960,15,Sandy,Larry Hall,,0.196,0.105,0.9981,trust,['meme rap']
15,15,1960,16,Hound Dog Man,Fabian,,,,,,"['blues', 'blues rock', 'electric blues', 'modern blues', 'texas blues']"
16,16,1960,17,Scarlet Ribbons (For Her Hair),The Browns,,0.077,0.049,0.4767,anticipation,"['adult standards', 'brill building pop', 'classic rock', 'mellow gold', 'rock-and-roll', 'rockabilly']"
17,17,1960,18,Smokie - Part 2,Bill Black's Combo,,0.241,0.083,0.9875,joy,[]
18,18,1960,19,Not One Minute More,Della Reese,,0.197,0.01,0.9864,joy,['space age pop']
19,19,1960,20,This Friendly World,Fabian,,0.222,0.014,0.9983,joy,"['alternative rock', 'anti-folk', 'freak folk', 'idaho indie', 'indie pop', 'indie rock', 'lo-fi', 'modern rock', 'stomp and holler']"
20,20,1960,21,In The Mood,Ernie Fields & Orch.,,0.14,0.036,0.992,anger,"['adult standards', 'big band', 'easy listening', 'jazz trombone', 'lounge', 'swing', 'vocal jazz']"
21,21,1960,22,The Little Drummer Boy,The Harry Simeone Chorale,,0.2,0.044,0.9582,joy,"['adult standards', 'easy listening']"
22,22,1960,23,You Got What It Takes,Marv Johnson,,0.187,0.08,0.9985,anticipation,"['deep disco', 'disco', 'post-disco', 'post-disco soul']"
23,23,1960,24,First Name Initial,Annette With The Afterbeats,,,,,,[]
24,24,1960,25,So Many Ways,Brook Benton,,0.096,0.214,-0.9988,fear,"['g funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
25,25,1960,26,Oh! Carol,Neil Sedaka,,0.362,0.233,0.9903,sadness,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'mellow gold', 'rockabilly', 'soft rock']"
26,26,1960,27,Be My Guest,Fats Domino,,0.185,0.004,0.996,anticipation,"['afroswing', 'dancehall', 'uk hip hop']"
27,27,1960,28,Tear Drop,Santo & Johnny,,0.175,0.123,0.8544,sadness,"['k-pop', 'k-pop boy group']"
28,28,1960,29,Teen Angel,Mark Dinning,,0.127,0.034,0.9327,joy,[]
29,29,1960,30,Come Into My Heart,Lloyd Price and His Orchestra,,,,,,"['anthem worship', 'ccm', 'christian pop', 'world worship']"
30,30,1960,31,Mr. Blue,The Fleetwoods,,0.173,0.122,0.8361,joy,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
32,32,1960,33,Danny Boy,Conway Twitty,,0.147,0.112,0.7351,disgust,[]
