,year,rank,song,artist,gender,nltk_positive,nltk_negative,nltk_score,nltk_top_emotion,Gender,genres
4,2014,6,Demons,Imagine Dragons,,0.056,0.152,-0.9803,fear,Male,"['modern rock', 'pop', 'rock']"
5,2014,7,Let Her Go,Passenger,,0.167,0.131,0.9829,joy,Male,"['folk-pop', 'neo mellow', 'pop', 'pop rock']"
6,2014,8,Wake Me Up!,Avicii,,0.22,0.013,0.9946,sadness,Male,"['dance pop', 'edm', 'pop', 'pop dance']"
7,2014,9,Wrecking Ball,Miley Cyrus,,0.161,0.127,0.8519,anger,Female,"['dance pop', 'pop', 'post-teen pop']"
8,2014,10,Story Of My Life,One Direction,,0.106,0.069,0.9413,sadness,Male,"['boy band', 'pop', 'post-teen pop', 'talent show']"
9,2014,11,Roar,Katy Perry,,0.132,0.035,0.9945,trust,Female,"['dance pop', 'pop', 'post-teen pop']"
10,2014,12,Drunk In Love,Beyonce Featuring Jay Z,,0.183,0.083,0.9973,joy,,"['dance pop', 'pop', 'r&b']"
11,2014,13,"Hold On, We're Going Home",Drake Featuring Majid Jordan,,0.128,0.028,0.9899,joy,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
12,2014,14,Dark Horse,Katy Perry Featuring Juicy J,,0.273,0.074,0.9992,anticipation,,"['dance pop', 'pop', 'post-teen pop']"
13,2014,15,Burn,Ellie Goulding,,0.052,0.06,-0.3736,anticipation,Female,"['chicago rap', 'melodic rap']"
14,2014,16,Do What U Want,Lady Gaga Featuring R. Kelly,,0.167,0.064,0.9781,sadness,,"['art pop', 'dance pop', 'pop']"
15,2014,17,Sweater Weather,The Neighbourhood,,0.119,0.062,0.9829,joy,Male,"['modern alternative rock', 'modern rock', 'pop']"
16,2014,18,Team,Lorde,,0.104,0.072,0.843,trust,Female,"['art pop', 'electropop', 'metropopolis', 'nz pop', 'pop']"
17,2014,19,White Walls,Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,,0.131,0.089,0.9809,anger,,"['pop rap', 'seattle hip hop']"
18,2014,20,23,"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",,0.108,0.028,0.9932,sadness,,"['contemporary country', 'country pop']"
19,2014,21,Pompeii,Bastille,,0.156,0.041,0.9942,sadness,Male,"['metropopolis', 'modern rock', 'pop', 'pop rock', 'tropical house']"
0,2014,22,Stay The Night,Zedd Featuring Hayley Williams,,0.016,0.061,-0.9314,surprise,,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'pop dance', 'tropical house']"
1,2014,23,Unconditionally,Katy Perry,,0.261,0.098,0.9943,joy,Female,"['dance pop', 'pop', 'post-teen pop']"
2,2014,24,My Hitta,YG Featuring Jeezy & Rich Homie Quan,,0.088,0.195,-0.9984,disgust,,"['cali rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
3,2014,25,Applause,Lady Gaga,,0.187,0.029,0.9974,trust,Female,"['art pop', 'dance pop', 'pop']"
4,2014,26,All I Want For Christmas Is You,Mariah Carey,,0.076,0.086,0.923,joy,Female,"['dance pop', 'pop', 'urban contemporary']"
5,2014,27,Blurred Lines,Robin Thicke Featuring T.I. + Pharrell,,0.142,0.098,0.9487,fear,,"['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']"
6,2014,28,Holy Grail,Jay Z Featuring Justin Timberlake,,0.12,0.183,-0.9971,fear,,"['east coast hip hop', 'hip hop', 'rap']"
7,2014,29,Show Me,Kid Ink Featuring Chris Brown,,0.098,0.065,0.9655,trust,,['indie pop']
8,2014,30,Stay,Florida Georgia Line,,0.017,0.029,-0.5821,anticipation,Male,['australian hip hop']
9,2014,31,Radioactive,Imagine Dragons,,0.108,0.026,0.9579,fear,Male,"['modern rock', 'pop', 'rock']"
10,2014,32,Love More,Chris Brown Featuring Nicki Minaj,,0.057,0.112,-0.9897,anger,,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']"
11,2014,33,Gas Pedal,Sage The Gemini Featuring IamSu!,,0.058,0.131,-0.9944,anger,,"['dance pop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap']"
12,2014,34,Drink A Beer,Luke Bryan,,0.099,0.05,0.8917,anticipation,Male,"['contemporary country', 'country', 'country road']"
13,2014,35,Brave,Sara Bareilles,,0.098,0.165,-0.9988,anger,Female,"['acoustic pop', 'dance pop', 'lilith', 'neo mellow', 'pop', 'pop rock']"
14,2014,36,It Won't Stop,Sevyn Streeter Featuring Chris Brown,,0.17,0.036,0.9954,joy,,"['alternative r&b', 'dance pop', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'pop r&b', 'pop rap', 'r&b', 'trap queen', 'urban contemporary']"
15,2014,37,All Me,Drake Featuring 2 Chainz & Big Sean,,0.159,0.184,-0.993,anger,,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
16,2014,38,Rap God,Eminem,,0.12,0.133,-0.9944,anger,Male,"['detroit hip hop', 'hip hop', 'rap']"
17,2014,39,Sail,AWOLNATION,,0.062,0.155,-0.9153,joy,Male,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']"
18,2014,40,Whatever She's Got,David Nail,,0.062,0.106,0.2799,anticipation,Male,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
19,2014,41,Marry Me,Jason Derulo,,0.207,0.037,0.9955,sadness,Male,"['contemporary country', 'country', 'country road', 'modern country rock']"
0,2014,42,Safe And Sound,Capital Cities,,0.224,0.015,0.9967,trust,Male,['metropopolis']
1,2014,43,Drunk Last Night,Eli Young Band,,0.04,0.211,-0.997,anger,,"['contemporary country', 'country', 'country road', 'heartland rock', 'modern country rock', 'texas country']"
2,2014,44,Best Day Of My Life,American Authors,,0.193,0.033,0.9957,surprise,Male,"['indie poptimism', 'modern alternative rock', 'modern rock', 'pop', 'pop rock', 'rock']"
3,2014,45,The Christmas Song (Merry Christmas To You),Nat King Cole,,0.096,0.031,0.8316,joy,Male,"['adult standards', 'vocal jazz']"
4,2014,46,Wasting All These Tears,Cassadee Pope,,0.1,0.2,-0.9762,disgust,Female,"['contemporary country', 'country', 'country pop', 'pop emo', 'post-teen pop', 'viral pop']"
5,2014,47,Carolina,Parmalee,,0.341,0.034,0.9975,surprise,,['pop']
6,2014,48,Who You Love,John Mayer Featuring Katy Perry,,0.503,0.016,0.9998,joy,,"['neo mellow', 'pop rock', 'singer-songwriter']"
7,2014,49,Replay,Zendaya,,0.174,0.051,0.9966,joy,Female,"['dance pop', 'pop rap', 'post-teen pop']"
8,2014,50,Rockin' Around The Christmas Tree,Brenda Lee,,0.254,0.014,0.9868,anticipation,Female,"['adult standards', 'brill building pop', 'vocal jazz']"
9,2014,51,I Have Nothing,Tessanne Chin,,0.146,0.017,0.992,fear,Female,"['dance pop', 'pop', 'urban contemporary']"
10,2014,52,Sweet Annie,Zac Brown Band,,0.155,0.063,0.9876,anger,Male,"['contemporary country', 'country', 'country road', 'modern country rock']"
11,2014,53,Chillin' It,Cole Swindell,,0.275,0.042,0.9997,joy,Male,"['contemporary country', 'country', 'country road', 'modern country rock']"
12,2014,54,Let It Go,Idina Menzel,,0.044,0.069,-0.7368,sadness,Female,"['modern rock', 'neo mellow', 'pop', 'pop rock']"
13,2014,55,All Of Me,John Legend,,0.154,0.103,0.9829,sadness,Male,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']"
14,2014,56,That's My Kind Of Night,Luke Bryan,,0.329,0.0,0.9995,joy,Male,"['contemporary country', 'country', 'country road']"
15,2014,57,When She Says Baby,Jason Aldean,,0.243,0.111,0.9944,joy,Male,"['contemporary country', 'country', 'country road']"
