,year,rank,song,artist,gender,nltk_positive,nltk_negative,nltk_score,nltk_top_emotion,Gender,genres
9,1975,53,Without Love,Aretha Franklin,,0.257,0.124,0.9983,joy,Female,"['hollywood', 'movie tunes', 'show tunes']"
10,1975,54,My Melody Of Love,Bobby Vinton,,0.24,0.048,0.9923,joy,Male,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'rock-and-roll']"
11,1975,55,I've Got The Music In Me,The Kiki Dee Band,,0.182,0.068,0.9741,sadness,,['classic uk pop']
12,1975,56,Fairytale,The Pointer Sisters,,0.133,0.177,-0.9819,anger,Female,"['celtic punk', 'celtic rock', 'folk punk', 'punk']"
13,1975,57,Sunshine Part II,The O'Jays,,0.193,0.062,0.9945,,,[]
14,1975,59,She's Gone,Tavares,,0.107,0.152,-0.9669,anticipation,,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
15,1975,60,"Baby, Hang Up The Phone",Carl Graves,,0.095,0.071,0.6087,joy,,['opm']
0,1975,61,Longfellow Serenade,Neil Diamond,,0.098,0.077,0.7557,sadness,Male,"['adult standards', 'brill building pop', 'classic rock', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']"
1,1975,62,Lady,Styx,,0.109,0.091,0.6786,fear,,"['kentucky indie', 'kentucky roots', 'outlaw country']"
2,1975,63,Happy People,The Temptations,,0.242,0.022,0.9998,joy,Male,"['indie pop', 'socal indie']"
3,1975,64,Sweet Surrender,John Denver,,0.124,0.06,0.9327,sadness,Male,"['canadian pop', 'canadian singer-songwriter', 'ectofolk', 'lilith', 'neo mellow', 'new wave pop', 'permanent wave', 'pop rock']"
4,1975,65,Can't Get It Out Of My Head,Electric Light Orchestra,,0.018,0.171,-0.988,joy,Male,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
5,1975,66,Lonely People,America,,0.208,0.303,-0.984,sadness,Male,"['album rock', 'art rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']"
6,1975,67,Nightingale,Carole King,,0.12,0.053,0.9611,anticipation,Female,['lo-fi jazzhop']
7,1975,68,Philadelphia,B.B. King,,0.115,0.181,-0.9966,fear,Male,"['glam rock', 'mellow gold', 'piano rock']"
8,1975,69,"Whatever You Got, I Want",Jackson 5,,0.1,0.054,0.1174,anticipation,,"['motown', 'soul']"
9,1975,70,Let's Straighten It Out,Latimore,,0.024,0.093,-0.9544,joy,Male,"['classic soul', 'memphis soul', 'soul', 'southern soul']"
10,1975,71,One Tear,Eddie Kendricks,,0.28,0.114,0.9981,sadness,Male,[]
11,1975,72,I Am I Am,Smokey Robinson,,0.233,0.041,0.9984,joy,Male,[]
12,1975,73,When A Child Is Born,Michael Holm,,0.127,0.141,-0.4588,anticipation,Male,"['calming instrumental', 'piano cover']"
13,1975,74,Big Yellow Taxi,Joni Mitchell,,0.154,0.023,0.991,anger,Female,"['canadian singer-songwriter', 'folk', 'folk rock', 'indie r&b', 'lilith', 'mellow gold', 'singer-songwriter']"
14,1975,75,As Long As He Takes Care Of Home,Candi Staton,,0.104,0.195,-0.9893,anticipation,Female,"['classic soul', 'disco', 'motown', 'quiet storm', 'soul', 'southern soul']"
15,1975,76,"Hoppy, Gene And Me",Roy Rogers,,0.149,0.094,0.9529,trust,Male,['cowboy western']
16,1975,77,Day Tripper,Anne Murray,,0.166,0.021,0.975,anticipation,Female,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
17,1975,78,I'm A Woman,Maria Muldaur,,0.064,0.005,0.9357,trust,Female,"['art punk', 'indie garage rock', 'oc indie']"
18,1975,79,Whatever Gets You Thru The Night,John Lennon With The Plastic Ono Nuclear Band,,0.162,0.162,-0.4523,fear,,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']"
19,1975,80,"Don't Call Us, We'll Call You",Sugarloaf/Jerry Corbetta,,0.073,0.031,0.7992,joy,,"['classic rock', 'country rock', 'soft rock']"
0,1975,81,Back Home Again,John Denver,,0.207,0.056,0.9952,anticipation,Male,"['adult standards', 'classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
1,1975,82,Don't Cha Love It,The Miracles,,0.457,0.042,0.9995,joy,,['new jack swing']
2,1975,83,Midnight Sky (Part 1),The Isley Brothers,,0.13,0.028,0.9909,joy,,"['ambient black metal', 'atmospheric black metal', 'australian black metal', 'australian metal', 'autonomous black metal', 'cosmic black metal', 'dungeon synth', 'sci-fi metal', 'voidgaze']"
3,1975,85,Costafine Town,Splinter,,0.123,0.09,0.2582,anticipation,,[]
4,1975,86,I Feel Sanctified,Commodores,,0.29,0.026,0.9952,joy,,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']"
5,1975,87,Gee Baby,Peter Shelley,,0.156,0.078,0.9791,joy,,"['bebop', 'contemporary post-bop', 'hard bop', 'jazz', 'jazz piano', 'soul jazz', 'stride']"
6,1975,88,Rhyme Tyme People,Kool & The Gang,,0.172,0.084,0.9522,sadness,Male,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']"
7,1975,89,Heartbreak Road,Bill Withers,,0.051,0.064,-0.3506,joy,Male,"['funk', 'motown', 'quiet storm', 'soul']"
8,1975,90,Don't Take Your Love,The Manhattans,,0.172,0.196,-0.9761,joy,,"['adult standards', 'contemporary vocal jazz', 'modern swing', 'vocal jazz']"
9,1975,91,Words (are Impossible),Margie Joseph,,0.159,0.196,-0.9146,anger,Female,['indie game soundtrack']
10,1975,92,Love Don't You Go Through No Changes On Me,Sister Sledge,,0.278,0.265,0.9834,joy,,"['dance pop', 'disco', 'philly soul', 'post-disco', 'quiet storm', 'soul']"
11,1975,93,I Wouldn't Treat A Dog (The Way You Treated Me),Bobby Bland,,0.2,0.086,0.9789,joy,,"['blues', 'classic soul', 'electric blues', 'soul', 'soul blues', 'southern soul']"
12,1975,94,"What A Man, My Man Is",Lynn Anderson,,0.094,0.013,0.9201,joy,Female,"['classic country pop', 'nashville sound']"
13,1975,95,Poetry Man,Phoebe Snow,,0.121,0.024,0.9584,anticipation,Female,['jazz blues']
14,1975,96,Let Me Start Tonite,Lamont Dozier,,0.141,0.086,0.9651,anticipation,Male,"['classic soul', 'motown', 'quiet storm', 'southern soul']"
15,1975,97,Ms. Grace,The Tymes,,0.188,0.077,0.9768,trust,,"['beach music', 'brill building pop', 'doo-wop', 'motown', 'philly soul', 'rhythm and blues']"
16,1975,98,Lady Marmalade,Labelle,,0.075,0.037,0.9426,fear,Male,"['dance pop', 'pop', 'post-teen pop']"
17,1975,99,Up In A Puff Of Smoke,Polly Brown,,0.08,0.053,0.9385,anger,Female,"['blues', 'blues rock', 'electric blues', 'modern blues', 'modern blues rock']"
18,1975,100,Crazy Talk,Chilliwack,,0.08,0.096,0.0,joy,,"['album rock', 'classic canadian rock', 'classic rock']"
0,1976,1,Saturday Night,Bay City Rollers,,0.067,0.016,0.9912,sadness,,"['pop', 'pop r&b']"
1,1976,2,I Write The Songs,Barry Manilow,,0.134,0.054,0.9666,joy,Male,"['adult standards', 'bubblegum pop', 'disco', 'mellow gold', 'quiet storm', 'soft rock', 'yacht rock']"
2,1976,3,Theme From Mahogany (Do You Know Where You're Going To),Diana Ross,,0.163,0.037,0.9819,anticipation,Female,"['adult standards', 'disco', 'motown', 'quiet storm', 'soft rock', 'soul']"
3,1976,4,Love Rollercoaster,Ohio Players,,0.371,0.011,0.9987,joy,,"['classic soul', 'disco', 'funk', 'jazz funk', 'motown', 'post-disco', 'quiet storm', 'soul', 'southern soul']"
4,1976,5,Let's Do It Again,The Staple Singers,,0.262,0.022,0.9992,joy,,"['jawaiian', 'kaneka', 'pacific islands pop']"
5,1976,6,Convoy,C.W. McCall,,0.163,0.043,0.997,fear,Male,['truck-driving country']
6,1976,7,Fox On The Run,Sweet,,0.03,0.128,-0.9555,fear,,"['album rock', 'blues rock', 'classic rock', 'classic uk pop', 'glam rock', 'hard rock', 'rock']"
7,1976,8,That's The Way (I Like It),KC And The Sunshine Band,,0.214,0.007,0.9953,joy,,"['disco', 'funk', 'motown', 'quiet storm', 'soft rock', 'soul']"
8,1976,9,I Love Music (Part 1),The O'Jays,,0.452,0.012,0.9995,joy,,['halloween']
9,1976,10,"Fly, Robin, Fly",Silver Convention,,,,,,,['disco']
10,1976,11,Love To Love You Baby,Donna Summer,,0.549,0.023,0.9998,joy,Female,"['dance pop', 'disco', 'hi-nrg', 'motown', 'new wave pop']"
11,1976,12,Times Of Your Life,Paul Anka,,0.12,0.052,0.9022,anticipation,Male,"['adult standards', 'brill building pop', 'canadian pop', 'easy listening', 'lounge', 'rock-and-roll']"
12,1976,13,Walk Away From Love,David Ruffin,,0.2,0.015,0.9964,joy,Male,"['classic soul', 'motown', 'quiet storm', 'soul']"
13,1976,14,Country Boy (You Got Your Feet In L.A.),Glen Campbell,,0.084,0.0,0.9787,anticipation,Male,"['adult standards', 'arkansas country', 'brill building pop', 'classic country pop', 'classic rock', 'classic uk pop', 'folk', 'folk rock', 'mellow gold', 'nashville sound', 'soft rock']"
14,1976,15,Sing A Song,"Earth, Wind & Fire",,0.248,0.017,0.985,trust,Male,"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']"
15,1976,16,You Sexy Thing,Hot Chocolate,,0.21,0.067,0.9937,anticipation,,"['classic uk pop', 'disco', 'motown', 'soft rock']"
16,1976,17,Rock And Roll All Nite (live),KISS,,0.123,0.03,0.9808,sadness,Male,"['permanent wave', 'punk']"
17,1976,18,Fly Away,John Denver,,0.151,0.122,0.9425,anger,Male,"['australian pop', 'pop']"
18,1976,19,Sky High,Jigsaw,,0.124,0.152,-0.9726,anger,Male,['gaming edm']
19,1976,20,Evil Woman,Electric Light Orchestra,,0.133,0.425,-0.9996,fear,Male,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
0,1976,21,Nights On Broadway,Bee Gees,,0.147,0.083,0.9846,anger,Male,"['disco', 'mellow gold', 'soft rock']"
1,1976,22,Love Machine (Part 1),The Miracles,,0.167,0.024,0.9953,joy,,[]
2,1976,23,Over My Head,Fleetwood Mac,,0.043,0.049,-0.3092,sadness,,"['neo mellow', 'piano rock', 'pop', 'pop rock']"
3,1976,25,Love Hurts,Nazareth,,0.18,0.069,0.9528,anger,,"['atl hip hop', 'plugg', 'rap', 'trap']"
4,1976,26,Winners And Losers,"Hamilton, Joe Frank & Reynolds",,0.122,0.158,-0.8577,anticipation,,"['punk', ""punk 'n' roll"", 'skate punk', 'socal pop punk']"
5,1976,27,Wake Up Everybody (Part 1),Harold Melvin And The Blue Notes,,0.043,0.08,-0.991,trust,,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']"
6,1976,28,Breaking Up Is Hard To Do,Neil Sedaka,,0.04,0.152,-0.9307,joy,Male,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'mellow gold', 'rockabilly', 'soft rock']"
7,1976,29,Baby Face,The Wing And A Prayer Fife & Drum Corps.,,0.046,0.125,-0.9964,joy,,"['dance pop', 'neo mellow', 'pop', 'post-teen pop', 'r&b', 'viral pop']"
8,1976,30,Somewhere In The Night,Helen Reddy,,0.292,0.03,0.9951,joy,Female,"['adult standards', 'bubblegum pop', 'disco', 'mellow gold', 'quiet storm', 'soft rock', 'yacht rock']"
9,1976,31,Part Time Love,Gladys Knight And The Pips,,0.192,0.053,0.9806,anticipation,,"['adult standards', 'funk', 'indie r&b', 'motown', 'quiet storm', 'soul']"
10,1976,32,Island Girl,Elton John,,0.13,0.056,0.9425,joy,Male,"['modern reggae', 'reggae', 'reggae rock', 'roots reggae', 'west coast reggae']"
11,1976,33,School Boy Crush,AWB,,0.128,0.057,0.9808,trust,,"['disco', 'funk', 'jazz funk', 'modern funk', 'motown', 'post-disco', 'quiet storm', 'soul']"
12,1976,34,50 Ways To Leave Your Lover,Paul Simon,,0.174,0.087,0.9921,anticipation,Male,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'soft rock']"
13,1976,35,Hurricane (Part 1),Bob Dylan,,0.103,0.08,0.8781,surprise,Male,[]
14,1976,37,Let's Live Together,The Road Apples,,0.25,0.051,0.9946,sadness,,"['classic soul', 'disco', 'electro', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
15,1976,38,Full Of Fire,Al Green,,0.367,0.063,0.9988,anticipation,Male,"['classic soul', 'funk', 'memphis soul', 'quiet storm', 'soul', 'soul blues', 'southern soul']"
16,1976,39,The Way I Want To Touch You,Captain & Tennille,,0.132,0.084,0.5809,joy,,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'disco', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']"
17,1976,40,Squeeze Box,The Who,,0.132,0.026,0.9428,joy,Male,"['album rock', 'art rock', 'blues rock', 'british invasion', 'classic rock', 'hard rock', 'mellow gold', 'rock']"
0,1976,41,Paloma Blanca,George Baker Selection,,0.064,0.093,-0.1027,sadness,,['nuevo regional mexicano']
1,1976,42,Our Day Will Come,Frankie Valli,,0.199,0.047,0.9877,joy,Male,"['british soul', 'indie r&b', 'neo soul']"
2,1976,43,Down To The Line,Bachman-Turner Overdrive,,0.136,0.033,0.9782,joy,,"['album rock', 'art rock', 'blues rock', 'classic canadian rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
3,1976,44,Golden Years,David Bowie,,0.068,0.016,0.96,joy,Male,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
4,1976,45,My Little Town,Simon & Garfunkel,,0.166,0.034,0.9837,anger,Male,"['classic rock', 'folk', 'folk rock', 'melancholia', 'mellow gold', 'rock']"
5,1976,46,Woman Tonight,America,,0.104,0.128,-0.9088,fear,Male,"['album rock', 'art rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'soft rock']"
6,1976,47,Fire On The Mountain,The Marshall Tucker Band,,0.062,0.262,-0.9942,anticipation,,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
7,1976,48,This Old Man,Purple Reign,,0.371,0.0,0.9973,joy,Female,"['instrumental lullaby', 'lullaby']"
8,1976,49,Volare,Al Martino,,0.02,0.018,-0.4193,joy,Male,"['adult standards', 'easy listening', 'lounge']"
9,1976,50,Slow Ride,Foghat,,0.077,0.108,-0.8797,anger,,"['album rock', 'blues rock', 'british blues', 'classic rock', 'country rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']"
10,1976,51,Play On Love,Jefferson Starship,,0.353,0.012,0.999,joy,,"['album rock', 'art rock', 'classic rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
11,1976,52,Free Ride,Tavares,,0.196,0.0,0.9886,,,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'soft rock']"
12,1976,54,The Last Game Of The Season (A Blind Man In The Bleachers),David Geddes,,0.063,0.095,-0.8997,trust,Male,[]
13,1976,55,Take It To The Limit,Eagles,,0.066,0.01,0.9619,anticipation,Male,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
14,1976,56,All By Myself,Eric Carmen,,0.127,0.099,0.9411,joy,Male,"['canadian pop', 'dance pop']"
15,1976,57,Deep Purple,Donny & Marie Osmond,,0.014,0.019,-0.8772,trust,,"['album rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'rock']"
16,1976,58,Christmas For Cowboys,John Denver,,0.081,0.016,0.836,anticipation,Male,"['adult standards', 'classic country pop', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
17,1976,59,Inseparable,Natalie Cole,,0.21,0.036,0.9725,joy,Female,"['grupera', 'gruperas inmortales']"
18,1976,60,Let The Music Play,Barry White,,0.225,0.088,0.998,joy,Male,"['electro', 'freestyle', 'hi-nrg', 'minneapolis sound', 'post-disco']"
0,1976,61,Tracks Of My Tears,Linda Ronstadt,,0.233,0.031,0.9932,joy,Female,"['adult standards', 'brill building pop', 'classic soul', 'funk', 'motown', 'quiet storm', 'rock-and-roll', 'soul', 'southern soul']"
1,1976,62,Easy As Pie,"Billy ""Crash"" Craddock",,0.189,0.015,0.9604,anticipation,,['mod revival']
2,1976,63,Fanny (Be Tender With My Love),Bee Gees,,0.074,0.254,-0.9972,joy,Male,"['disco', 'mellow gold', 'soft rock']"
3,1976,64,Feelings,Morris Albert,,0.12,0.133,-0.9944,anger,Male,"['dance pop', 'electropop', 'pop']"
4,1976,65,Going Down Slowly,The Pointer Sisters,,0.077,0.029,0.9716,anticipation,Female,"['dance pop', 'disco', 'girl group', 'hi-nrg', 'mellow gold', 'motown', 'new wave pop', 'quiet storm', 'soft rock']"
5,1976,66,Love Or Leave,The Spinners,,0.197,0.188,0.9906,sadness,,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']"
6,1976,67,The Blind Man In The Bleachers,Kenny Starr,,0.063,0.095,-0.8997,trust,,['country gospel']
7,1976,68,The Homecoming,Hagood Hardy,,0.068,0.164,-0.9792,sadness,Male,"['novelty', 'parody']"
8,1976,69,For A Dancer,Prelude,,0.088,0.068,0.4756,anticipation,,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'piano rock', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
9,1976,70,Yesterday's Hero,John Paul Young,,0.201,0.043,0.9959,anticipation,Male,"['australian dance', 'australian rock', 'classic uk pop']"
10,1976,71,Break Away,Art Garfunkel,,0.061,0.144,-0.9963,trust,Male,[]
11,1976,72,Sweet Love,Commodores,,0.223,0.036,0.9984,joy,,"['contemporary r&b', 'funk', 'motown', 'neo soul', 'quiet storm', 'r&b', 'smooth jazz', 'soul', 'urban contemporary']"
12,1976,73,Back To The Island,Leon Russell,,0.114,0.091,0.7036,anticipation,Male,"['blues rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'outlaw country', 'piano rock', 'roots rock', 'singer-songwriter', 'soft rock', 'swamp rock']"
13,1976,74,"December, 1963 (Oh, What a Night)",The 4 Seasons,,0.091,0.021,0.9452,anticipation,,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'lounge', 'motown', 'northern soul', 'rock-and-roll']"
14,1976,75,"Soul Train ""75""",Soul Train Gang,,0.134,0.0,0.9805,surprise,,[]
15,1976,76,I Cheat The Hangman,The Doobie Brothers,,0.119,0.248,-0.9673,fear,Male,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
16,1976,77,The White Knight,Cledus Maggard And The Citizen's Band,,0.0,0.062,-0.836,trust,,['truck-driving country']
17,1976,78,Don't Cry Joni,Conway Twitty with Joni Lee,,0.182,0.009,0.9942,joy,,"['arkansas country', 'country', 'country rock']"
18,1976,79,Love Is The Drug,Roxy Music,,0.234,0.025,0.9764,surprise,,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'glam rock', 'melancholia', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'sophisti-pop']"
19,1976,80,Lady Bump,Penny Mclean,,0.033,0.044,-0.0087,joy,,[]
0,1976,81,Bohemian Rhapsody,Queen,,0.102,0.185,-0.984,sadness,Male,"['classic rock', 'glam rock', 'rock']"
1,1976,82,Sweet Thing,Rufus Featuring Chaka Khan,,0.177,0.023,0.99,joy,,"['contemporary r&b', 'dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']"
2,1976,83,Art For Art's Sake,10cc,,0.05,0.025,0.6462,joy,,"['album rock', 'art rock', 'classic rock', 'classic uk pop', 'folk rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock', 'yacht rock']"
3,1976,84,That's Why I Love You,Andrew Gold,,0.199,0.141,0.9919,sadness,Male,"['alternative r&b', 'hip hop', 'indie soul', 'la pop', 'r&b', 'rap']"
4,1976,85,Only Sixteen,Dr. Hook,,0.225,0.095,0.9873,sadness,,"['adult standards', 'bubblegum pop', 'classic rock', 'classic uk pop', 'country rock', 'folk rock', 'mellow gold', 'soft rock']"
5,1976,86,Amazing Grace (used To Be Her Favorite Song),Amazing Rhythm Aces,,0.314,0.045,0.997,joy,,"['country rock', 'folk', 'roots rock', 'southern rock']"
6,1976,87,Chain Gang Medley,Jim Croce,,0.0,0.087,-0.9663,fear,Male,"['album rock', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']"
7,1976,88,Funky Weekend,The Stylistics,,0.198,0.134,0.9761,sadness,,[]
8,1976,89,Every Beat Of My Heart,Crown Heights Affair,,0.052,0.164,-0.9774,sadness,,"['classic rock', 'mellow gold', 'soft rock']"
9,1976,90,Hollywood Hot,The Eleventh Hour,,0.132,0.037,0.9347,anger,,['trap beats']
10,1976,91,The Zip,MFSB,,0.173,0.133,0.9911,anticipation,,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']"
11,1976,92,Happy,Eddie Kendricks,,0.207,0.031,0.9982,anticipation,Male,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'folk rock', 'mellow gold', 'rock']"
12,1976,93,Make Love To Your Mind,Bill Withers,,0.305,0.071,0.9989,joy,Male,"['funk', 'motown', 'quiet storm', 'soul']"
13,1976,94,Breakfast For Two,Country Joe McDonald,,0.147,0.035,0.9957,joy,Male,"['indie garage rock', 'indie surf']"
14,1976,95,I Believe In Father Christmas,Greg Lake,,0.201,0.14,0.93,trust,Male,"['album rock', 'art rock', 'classic rock', 'jazz fusion', 'progressive rock', 'psychedelic rock', 'rock keyboard', 'symphonic rock']"
15,1976,96,Blue Guitar,Justin Hayward & John Lodge,,0.143,0.069,0.7882,anticipation,,"['acoustic blues', 'blues', 'chicago blues', 'electric blues', 'traditional blues']"
16,1976,97,Who Loves You,The 4 Seasons,,0.201,0.149,0.9665,fear,,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'lounge', 'motown', 'northern soul', 'rock-and-roll']"
17,1976,98,Dream Weaver,Gary Wright,,0.162,0.053,0.8957,anticipation,Male,"['album rock', 'classic rock', 'country rock', 'mellow gold', 'soft rock', 'yacht rock']"
18,1976,99,Valentine Love,Norman Connors,,0.141,0.178,-0.9751,anger,Male,"['classic soul', 'funk', 'jazz funk', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
19,1976,100,Daydreamer,C.C. & Company,,0.124,0.019,0.967,joy,,"['british soul', 'pop', 'pop soul', 'uk pop']"
0,1977,1,Tonight's The Night (Gonna Be Alright),Rod Stewart,,0.212,0.05,0.9816,joy,Male,"['classic rock', 'mellow gold', 'soft rock']"
1,1977,2,You Don't Have To Be A Star (To Be In My Show),"Marilyn McCoo & Billy Davis, Jr.",,0.158,0.052,0.9843,joy,,[]
2,1977,3,The Rubberband Man,The Spinners,,0.038,0.047,-0.732,anticipation,,"['classic soul', 'disco', 'funk', 'motown', 'philly soul', 'quiet storm', 'soul', 'southern soul']"
3,1977,4,You Make Me Feel Like Dancing,Leo Sayer,,0.133,0.039,0.9884,joy,Male,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic rock', 'classic uk pop', 'country rock', 'disco', 'folk rock', 'mellow gold', 'soft rock']"
4,1977,5,More Than A Feeling,Boston,,0.081,0.042,0.7457,joy,Male,"['album rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'soft rock']"
5,1977,6,Sorry Seems To Be The Hardest Word,Elton John,,0.055,0.206,-0.9841,trust,Male,"['glam rock', 'mellow gold', 'piano rock']"
6,1977,7,I Wish,Stevie Wonder,,0.278,0.019,0.9997,anticipation,Male,"['contemporary country', 'country road']"
7,1977,8,Dazz,Brick,,0.208,0.035,0.9955,joy,Male,"['disco', 'funk', 'post-disco', 'quiet storm', 'soul']"
8,1977,9,Car Wash,Rose Royce,,0.187,0.023,0.9938,anticipation,,"['classic soul', 'disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']"
9,1977,10,After The Lovin',Engelbert Humperdinck,,0.219,0.034,0.9957,joy,Male,"['adult standards', 'brill building pop', 'easy listening', 'lounge']"
10,1977,11,Stand Tall,Burton Cummings,,0.261,0.036,0.9986,sadness,Male,"['reggae fusion', 'reggae rock']"
11,1977,12,Hot Line,The Sylvers,,0.111,0.019,0.9916,joy,,"['classic soul', 'disco', 'funk', 'jazz funk', 'post-disco', 'quiet storm']"
12,1977,13,I Never Cry,Alice Cooper,,0.188,0.037,0.9804,sadness,Male,"['album rock', 'blues rock', 'classic rock', 'detroit rock', 'glam metal', 'glam rock', 'hard rock', 'metal', 'protopunk', 'rock']"
13,1977,14,Love Me,Yvonne Elliman,,0.214,0.266,-0.9967,joy,Female,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']"
14,1977,15,Livin' Thing,Electric Light Orchestra,,0.078,0.186,-0.9829,anger,Male,"['album rock', 'art rock', 'beatlesque', 'classic rock', 'glam rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
15,1977,16,Muskrat Love,Captain & Tennille,,0.245,0.0,0.9875,joy,,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'disco', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']"
16,1977,18,Nights Are Forever Without You,England Dan & John Ford Coley,,0.063,0.094,-0.4503,joy,,"['adult standards', 'bubblegum pop', 'country rock', 'folk rock', 'mellow gold', 'soft rock']"
17,1977,20,New Kid In Town,Eagles,,0.098,0.035,0.9677,trust,Male,"['album rock', 'classic rock', 'country rock', 'folk rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
18,1977,21,Enjoy Yourself,The Jacksons,,0.17,0.056,0.9966,joy,,['brooklyn drill']
0,1977,22,Lost Without Your Love,Bread,,0.182,0.334,-0.986,fear,,"['adult standards', 'folk rock', 'mellow gold', 'soft rock']"
1,1977,23,You Are The Woman,Firefall,,0.062,0.006,0.9223,anticipation,,"['album rock', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'soft rock']"
2,1977,24,Jeans On,David Dundas,,0.027,0.0,0.8176,sadness,Male,"['country', 'country rock', 'oklahoma country']"
3,1977,25,Shake Your Rump To The Funk,The Bar-Kays,,0.131,0.118,0.9191,,,"['classic soul', 'disco', 'electro', 'funk', 'memphis soul', 'motown', 'popping', 'post-disco', 'soul', 'southern soul']"
4,1977,26,Saturday Nite,"Earth, Wind & Fire",,0.085,0.133,-0.9674,anger,Male,"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']"
5,1977,27,This Song,George Harrison,,0.346,0.054,0.9996,trust,Male,"['australian dance', 'australian electropop', 'australian indie', 'downtempo', 'edm']"
6,1977,28,Walk This Way,Aerosmith,,0.17,0.032,0.9955,trust,Male,"['album rock', 'classic rock', 'hard rock', 'rock']"
7,1977,29,Torn Between Two Lovers,Mary Macgregor,,0.235,0.149,0.9895,disgust,,['soft rock']
8,1977,30,I Like Dreamin',Kenny Nolan,,0.366,0.0,0.9984,joy,Male,['bubblegum pop']
9,1977,31,Love So Right,Bee Gees,,0.301,0.121,0.9986,joy,Male,"['disco', 'mellow gold', 'soft rock']"
